datetime,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Air_Temperature_celsius,Relative_Humidity_percent,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Sea_Level_Barometric_Pressure_pascal,Surface_Level_Barometric_Pressure_pascal,Precipitation_millimeterPerDay,Snowfall_millimeterPerDay
2010-01-01 00:00:00,9.3,4.8,83,0,277,102200,102200,0,0
2010-01-01 01:00:00,7.2,4.4,83,0,282,101900,101900,0,0
2010-01-01 02:00:00,9.3,4.2,84,0,284,101700,101700,0,0
2010-01-01 03:00:00,6.7,4.2,83,0,274,101600,101600,0,0
2010-01-01 04:00:00,9.3,4.3,82,0,280,101600,101600,0,0
2010-01-01 05:00:00,7.7,4.5,79,0,282,101600,101600,0,0
2010-01-01 06:00:00,8.7,5.2,75,0,283,101700,101700,0,0
2010-01-01 07:00:00,9.3,5.8,70,0,285,101800,101800,0,0
2010-01-01 08:00:00,7.2,5.3,84,0,280,101800,101800,0,0
2010-01-01 09:00:00,10.8,5.7,83,19,289,101900,101900,0,0
2010-01-01 10:00:00,9.8,6.4,86,44,310,102000,102000,0,0
2010-01-01 11:00:00,10.3,6,89,74,309,102000,102000,0,0
2010-01-01 12:00:00,8.7,7,84,91,294,102000,102000,0,0
2010-01-01 13:00:00,8.7,7,82,74,313,102000,102000,0,0
2010-01-01 14:00:00,7.7,6.3,94,64,296,102100,102100,0,0
2010-01-01 15:00:00,8.2,6.2,89,32,295,102200,102200,0,0
2010-01-01 16:00:00,7.2,6,91,2,294,102200,102200,0,0
2010-01-01 17:00:00,8.2,6,83,0,290,102300,102300,0,0
2010-01-01 18:00:00,5.7,5,87,0,284,102400,102400,0,0
2010-01-01 19:00:00,6.2,5.5,82,0,277,102400,102400,0,0
2010-01-01 20:00:00,5.1,5.5,77,0,280,102500,102500,0,0
2010-01-01 21:00:00,6.7,5.9,79,0,292,102500,102500,0,0
2010-01-01 22:00:00,5.7,5.4,79,0,287,102600,102600,0,0
2010-01-01 23:00:00,5.1,4.7,84,0,282,102600,102600,0,0
2010-01-02 00:00:00,4.6,4.7,84,0,277,102700,102700,0,0
2010-01-02 01:00:00,3.6,3.7,85,0,272,102700,102700,0,0
2010-01-02 02:00:00,3.6,3.3,89,0,267,102700,102700,0,0
2010-01-02 03:00:00,3.6,2.6,86,0,263,102700,102700,0,0
2010-01-02 04:00:00,3.1,2.8,89,0,265,102700,102700,0,0
2010-01-02 05:00:00,3.6,3,87,0,269,102800,102800,0,0
2010-01-02 06:00:00,0.5,3.2,84,0,270,102800,102800,0,0
2010-01-02 07:00:00,2.1,2,91,0,261,102800,102800,0,0
2010-01-02 08:00:00,1.5,1.8,93,0,261,102800,102800,0,0
2010-01-02 09:00:00,1,2,91,18,274,102900,102900,0,0
2010-01-02 10:00:00,5.1,3.6,90,42,285,102900,102900,0,0
2010-01-02 11:00:00,3.6,4.9,87,74,291,102900,102900,0,0
2010-01-02 12:00:00,4.1,5.4,84,78,290,102800,102800,0,0
2010-01-02 13:00:00,5.1,5.5,82,82,285,102800,102800,0,0
2010-01-02 14:00:00,6.2,5.5,85,59,294,102700,102700,0,0
2010-01-02 15:00:00,5.1,4.4,85,23,299,102700,102700,0,0
2010-01-02 16:00:00,6.2,4.3,87,2,288,102700,102700,0,0
2010-01-02 17:00:00,5.1,4,85,0,274,102600,102600,0,0
2010-01-02 18:00:00,8.2,4,88,0,279,102600,102600,0,0
2010-01-02 19:00:00,5.7,3.6,88,0,272,102500,102500,0,0
2010-01-02 20:00:00,7.2,3.2,91,0,267,102400,102400,0,0
2010-01-02 21:00:00,7.2,3,91,0,274,102400,102400,0,0
2010-01-02 22:00:00,7.7,3.3,87,0,277,102300,102300,0,0
2010-01-02 23:00:00,7.2,2.7,89,0,275,102200,102200,0,0
2010-01-03 00:00:00,12.3,3.8,88,0,283,102100,102100,0,0
2010-01-03 01:00:00,11.8,4,87,0,306,102000,102000,0,0
2010-01-03 02:00:00,12.9,4.4,85,0,308,101900,101900,0,0
2010-01-03 03:00:00,7.2,3.8,88,0,305,101800,101800,0,0
2010-01-03 04:00:00,7.7,3.8,88,0,305,101700,101700,0,0
2010-01-03 05:00:00,13.4,4.9,87,0,291,101600,101600,0,0
2010-01-03 06:00:00,13.4,5.1,89,0,312,101500,101500,0,0
2010-01-03 07:00:00,9.3,4.6,90,0,290,101500,101500,0,0
2010-01-03 08:00:00,10.3,5,92,0,304,101500,101500,0,0
2010-01-03 09:00:00,10.3,5.1,97,6,314,101400,101400,0,0
2010-01-03 10:00:00,6.2,4.9,97,25,289,101400,101400,0,0
2010-01-03 11:00:00,6.2,5.1,95,43,290,101300,101300,0,0
2010-01-03 12:00:00,8.7,5.3,95,51,295,101100,101100,0,0
2010-01-03 13:00:00,6.7,5.9,95,48,298,101000,101000,0,0
2010-01-03 14:00:00,4.1,6.5,95,34,321,100900,100900,0,0
2010-01-03 15:00:00,3.1,6.4,94,13,321,100900,100900,0,0
2010-01-03 16:00:00,5.1,6.7,95,3,299,101000,101000,0,0
2010-01-03 17:00:00,3.1,6,93,0,281,101100,101100,0,0
2010-01-03 18:00:00,4.6,4.8,95,0,279,101100,101100,0,0
2010-01-03 19:00:00,4.6,5.8,88,0,283,101200,101200,0,0
2010-01-03 20:00:00,4.6,5.9,86,0,288,101100,101100,0,0
2010-01-03 21:00:00,6.2,6,93,0,290,101100,101100,0,0
2010-01-03 22:00:00,5.1,6.2,93,0,291,101100,101100,0,0
2010-01-03 23:00:00,6.2,5,89,0,289,101100,101100,0,0
2010-01-04 00:00:00,5.7,5.1,93,0,293,101100,101100,0,0
2010-01-04 01:00:00,4.1,4.9,92,0,286,101100,101100,0,0
2010-01-04 02:00:00,1.5,4.9,92,0,312,101100,101100,0,0
2010-01-04 03:00:00,6.2,5.5,93,0,315,101000,101000,0,0
2010-01-04 04:00:00,5.1,5.5,93,0,315,101000,101000,0,0
2010-01-04 05:00:00,6.2,5.8,91,0,317,101000,101000,0,0
2010-01-04 06:00:00,3.6,6.6,94,0,322,101000,101000,0,0
2010-01-04 07:00:00,7.2,6,93,0,309,101000,101000,0,0
2010-01-04 08:00:00,6.7,6,93,0,309,101000,101000,0,0
2010-01-04 09:00:00,6.2,6.1,94,6,319,101000,101000,0,0
2010-01-04 10:00:00,6.2,6.5,93,25,321,100900,100900,0,0
2010-01-04 11:00:00,6.2,6.9,93,73,297,100900,100900,0,0
2010-01-04 12:00:00,6.2,8,93,94,305,100800,100800,0,0
2010-01-04 13:00:00,7.2,7.9,93,83,320,100700,100700,0,0
2010-01-04 14:00:00,7.7,8.1,95,34,331,100700,100700,0,0
2010-01-04 15:00:00,8.7,8,94,14,330,100600,100600,0,0
2010-01-04 16:00:00,8.7,8.1,95,1,331,100600,100600,0,0
2010-01-04 17:00:00,8.7,9.4,95,0,338,100600,100600,0,0
2010-01-04 18:00:00,7.7,10,97,0,342,100600,100600,0,0
2010-01-04 19:00:00,7.7,9.5,97,0,339,100500,100500,0,0
2010-01-04 20:00:00,9.3,9.8,97,0,341,100400,100400,0,0
2010-01-04 21:00:00,9.3,10,97,0,342,100300,100300,0,0
2010-01-04 22:00:00,11.3,10.2,96,0,343,100200,100200,0,0
2010-01-04 23:00:00,16.4,11.4,92,0,350,100100,100100,0,0
2010-01-05 00:00:00,15.9,11.3,94,0,349,100000,100000,0,0
2010-01-05 01:00:00,13.9,11,96,0,348,100000,100000,0,0
2010-01-05 02:00:00,8.2,8.5,93,0,333,100000,100000,0,0
2010-01-05 03:00:00,11.8,9.3,86,0,311,100000,100000,0,0
2010-01-05 04:00:00,9.8,8.5,81,0,301,100000,100000,0,0
2010-01-05 05:00:00,12.9,9.5,72,0,307,100000,100000,0,0
2010-01-05 06:00:00,11.8,9.5,75,0,310,100000,100000,0,0
2010-01-05 07:00:00,13.9,9,76,0,311,100000,100000,0,0
2010-01-05 08:00:00,11.8,8.6,85,0,311,100000,100000,0,0
2010-01-05 09:00:00,11.3,8.6,78,18,306,100100,100100,0,0
2010-01-05 10:00:00,13.4,8.5,69,43,307,100100,100100,0,0
2010-01-05 11:00:00,12.3,8.1,76,79,300,100100,100100,0,0
2010-01-05 12:00:00,14.4,9,77,78,308,100100,100100,0,0
2010-01-05 13:00:00,13.4,9.3,78,90,310,100200,100200,0,0
2010-01-05 14:00:00,13.4,8.5,77,60,302,100200,100200,0,0
2010-01-05 15:00:00,11.8,7.9,74,33,301,100300,100300,0,0
2010-01-05 16:00:00,10.3,7.8,75,3,301,100300,100300,0,0
2010-01-05 17:00:00,11.3,7.7,72,0,295,100400,100400,0,0
2010-01-05 18:00:00,10.5,7.3,77,0,292,100500,100500,0,0
2010-01-05 19:00:00,9.8,6.9,82,0,288,100600,100600,0,0
2010-01-05 20:00:00,9.8,7.3,78,0,294,100700,100700,0,0
2010-01-05 21:00:00,7.7,6.9,82,0,298,100800,100800,0,0
2010-01-05 22:00:00,10.3,8.2,70,0,292,100900,100900,0,0
2010-01-05 23:00:00,10.3,7.4,66,0,287,101100,101100,0,0
2010-01-06 00:00:00,9.3,7.2,75,0,288,101200,101200,0,0
2010-01-06 01:00:00,10.3,7.8,69,0,303,101300,101300,0,0
2010-01-06 02:00:00,9.8,7.2,71,0,292,101500,101500,0,0
2010-01-06 03:00:00,11.3,7.6,67,0,288,101600,101600,0,0
2010-01-06 04:00:00,9.8,7.5,68,0,288,101800,101800,0,0
2010-01-06 05:00:00,8.7,6.7,78,0,286,101900,101900,0,0
2010-01-06 06:00:00,7.2,7,74,0,294,102000,102000,0,0
2010-01-06 07:00:00,7.7,7.1,66,0,291,102100,102100,0,0
2010-01-06 08:00:00,7.7,7.6,76,0,297,102200,102200,0,0
2010-01-06 09:00:00,9.8,7,81,12,313,102300,102300,0,0
2010-01-06 10:00:00,6.2,8,79,47,318,102400,102400,0,0
2010-01-06 11:00:00,8.2,8,80,77,318,102400,102400,0,0
2010-01-06 12:00:00,6.7,9,71,122,302,102400,102400,0,0
2010-01-06 13:00:00,6.7,8.5,77,85,309,102400,102400,0,0
2010-01-06 14:00:00,5.7,8.4,80,63,320,102400,102400,0,0
2010-01-06 15:00:00,6.7,8.5,77,27,309,102400,102400,0,0
2010-01-06 16:00:00,6.7,8.5,83,1,331,102400,102400,0,0
2010-01-06 17:00:00,7.7,8.6,84,0,322,102400,102400,0,0
2010-01-06 18:00:00,9.2,8.6,86,0,323,102400,102400,0,0
2010-01-06 19:00:00,10.8,8.7,88,0,333,102400,102400,0,0
2010-01-06 20:00:00,8.7,8.6,93,0,333,102300,102300,0,0
